country,id,name
SEHK,255,Lung Kee (Bermuda) Holdings Ltd.
SEHK,257,China Everbright International Ltd.
SEHK,258,Tomson Group Ltd.
SEHK,260,Sino Gas Group Ltd.
SEHK,261,CCT Tech International Ltd.
SEHK,263,Poly Investments Holdings Ltd.
SEHK,264,Chanco International Group Limited
SEHK,267,CITIC Pacific Ltd.
SEHK,268,Kingdee International Software Group Company Limited
SEHK,269,China Timber Resources Group Ltd.
SEHK,270,Guangdong Investment
SEHK,271,Dan Form Hldgs
SEHK,272,Shui On Land Limited
SEHK,273,Willie International Holdings Limited
SEHK,274,Global Green
SEHK,275,Hanny Holdings Ltd.
SEHK,276,Mongolia Energy (Formerly New World CyberBase Ltd. )
SEHK,278,Wah Ha Realty Co. Ltd.
SEHK,279,Inner Mongolia Development (Holdings) Limited
SEHK,280,King Fook Holdings
SEHK,282,Next Media
SEHK,283,Matsunichi Communication Holdings Limited
SEHK,285,BYD Electronic (International) Company Limited
SEHK,286,G-Prop (Holdings) Ltd.
SEHK,287,Winfair Inv.
SEHK,288,Berjaya Holdings (HK) Ltd.
SEHK,289,Wing On Company International Limited
SEHK,291,China Resources Enterprises
SEHK,293,Cathay Pacific Airways Ltd.
SEHK,296,Emperor Entertainment Hotel Limited
SEHK,297,Sinofert Holdings
SEHK,298,Chuang's China Investments Ltd.
SEHK,299,SinoCom Software Group Limited
SEHK,300,Shenji Group Kunming Machine Tool Co. Ltd.
SEHK,301,Sun Fook Kong Holdings Limited
SEHK,302,OCBC Wing Hang Bank Limited
SEHK,303,VTech
SEHK,304,Peace Mark (Holdings) Ltd.
SEHK,306,Kwoon Chung Bus Holdings Ltd.
SEHK,307,Tidetime Sun (Group) Ltd.
SEHK,308,China Travel International Investment Hong Kong
SEHK,309,Lo's Enviro-Pro Holdings Limited
SEHK,310,Prosperity Investment Holdings Limited
SEHK,311,Luen Thai Holdings Limited
SEHK,313,Richly Field China Development Ltd
SEHK,315,Smartone Telecommunications Holdings Ltd.
SEHK,316,Orient Overseas (International) Limited
SEHK,317,Guangzhou Shipyard International
SEHK,318,Vongroup Ltd.
SEHK,320,Computime Group Limited
SEHK,321,Texwinca Holdings Ltd.
SEHK,322,Tingyi (Cayman Islands) Holding Corporation
SEHK,323,"Maanshan Iron and Steel Co., Ltd."
SEHK,326,China Star Entertainment Ltd.
SEHK,327,Pax Global Limited
SEHK,328,Alco Holdings Limited
SEHK,329,Ruyan Group (Holdings) Limited
SEHK,330,Esprit Holdings Ltd.
SEHK,332,Ngai Lik Industrial Holdings Ltd.
SEHK,333,Top Form International Ltd.
SEHK,334,Proview International Holdings Ltd.
SEHK,337,SPG Land (Holdings) Limited
SEHK,338,Sinopec Shanghai Petrochemical Company Limited
SEHK,340,China Mining Resources Group Limited
SEHK,341,Cafe de Coral Holdings Ltd.
SEHK,342,NewOcean Energy Holdings Limited
SEHK,343,Culturecom Holdings Ltd.
SEHK,345,Vitasoy Int'l Holdings Ltd.
SEHK,346,Sino Union Petroleum & Chemical International Ltd.
SEHK,347,Angang Steel Company
SEHK,348,Lung Cheong International Holdings Ltd.
SEHK,349,Industrial and Commercial Bank of China (Asia) Limited
SEHK,352,Fortune Sun (China) Holdings Limited
SEHK,357,HNA Infrastructure
SEHK,358,Jiangxi Copper Co. Ltd.
SEHK,359,China Haisheng Juice Holdings Co. Ltd.
SEHK,361,Sino Golf Holdings Ltd.
SEHK,363,Shanghai Industrial Holdings
SEHK,365,Sun East Technology (Holdings) Ltd.
SEHK,368,Sinotrans Shipping
SEHK,369,Wing Tai Properties Limited
SEHK,372,ITC Corporation Ltd.
SEHK,373,Allied Group Ltd.
SEHK,376,Asia TeleMedia Limited
SEHK,377,Huajun International Group Limited
SEHK,378,E2-Capital (Holdings) Limited
SEHK,382,Hualing Holdings Limited
SEHK,383,COL Capital Limited
SEHK,386,China Petroleum & Chemical Corporation
SEHK,387,Leeport (Holdings) Limited
SEHK,388,Hong Kong Exchanges and Clearing Ltd.
SEHK,389,Moulin Global Eyecare Holdings Limited
